node_id,pagerank
2012,0.0234723595959489
2011,0.02292608557758131
2007,0.02288071972180773
2005,0.022780716244122895
2001,0.022653049960638078
2008,0.02258607070017697
2000,0.0224446083563434
2010,0.022436535226753773
2002,0.022306269475879454
2004,0.022295023684660964
2014,0.022178792862069852
2009,0.02216200430294399
2013,0.021944251651220718
2003,0.021849303635150814
2006,0.021260396251738912
35,0.0017507830040483275
1102,0.001404455583656181
1603,0.0013108288085677
44,0.0012013009556245148
1600,0.0011961275733856484
